ApsimVersion = 7.7
Title = kl_Mandamus322
           Date           rain             es    sw(6-10)(1)    sw(6-10)(2)    sw(6-10)(3)    sw(6-10)(4)    sw(6-10)(5)    cover_green     root_depth   rlv(6-10)(1)   rlv(6-10)(2)   rlv(6-10)(3)   rlv(6-10)(4)   rlv(6-10)(5)             ep      pet_total     irrigation   dul(6-10)(1)   dul(6-10)(2)   dul(6-10)(3)   dul(6-10)(4)   dul(6-10)(5)  ll15(6-10)(1)  ll15(6-10)(2)  ll15(6-10)(3)  ll15(6-10)(4)  ll15(6-10)(5)
   (dd/mm/yyyy)           (mm)           (mm)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)             ()           (mm)      (mm/mm^3)      (mm/mm^3)      (mm/mm^3)      (mm/mm^3)      (mm/mm^3)           (mm)       (mm/day)           (mm)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)    (cm^3/cm^3)
     01/06/2009          0.000          0.584          0.090          0.090          0.090          0.090          0.090          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.090          0.090          0.090          0.090          0.090          0.033          0.033          0.033          0.033          0.033
     02/06/2009          0.000          1.937          0.089          0.090          0.090          0.090          0.090          0.000        100.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.090          0.090          0.090          0.090          0.090          0.033          0.033          0.033          0.033          0.033
     03/06/2009          0.000          2.706          0.089          0.089          0.090          0.090          0.090          0.000        104.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          2.000          0.090          0.090          0.090          0.090          0.090          0.033          0.033          0.033          0.033          0.033
     04/06/2009          0.000          3.467          0.088          0.089          0.090          0.090          0.090          0.000        108.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          3.000          0.090          0.090          0.090          0.090          0.090          0.033          0.033          0.033          0.033          0.033
     05/06/2009          0.000          4.369          0.087          0.088          0.089          0.090          0.090          0.025        112.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          4.000          0.090          0.090          0.090          0.090          0.090          0.033          0.033          0.033          0.033          0.033
     06/06/2009          0.000          4.317          0.087          0.088          0.089          0.089          0.090          0.032        128.000          0.000          0.000          0.000          0.000          0.000          0.111          0.111          4.000          0.090          0.090          0.090          0.090          0.090          0.033          0.033          0.033          0.033          0.033
     07/06/2009          0.000          5.206          0.086          0.087          0.089          0.089          0.090          0.041        144.000          0.000          0.000          0.000          0.000          0.000          0.144          0.144          5.000          0.090          0.090          0.090          0.090          0.090          0.033          0.033          0.033          0.033          0.033
     08/06/2009          0.000          5.207          0.086          0.086          0.089          0.089          0.090          0.053        160.000          0.000          0.000          0.000          0.000          0.000          0.188          0.188          5.000          0.090          0.090          0.090          0.090          0.090          0.033          0.033          0.033          0.033          0.033
     09/06/2009          0.000          5.947          0.085          0.086          0.088          0.089          0.090          0.068        176.000          0.000          0.000          0.000          0.000          0.000          0.245          0.245          6.000          0.090          0.090          0.090          0.090          0.090          0.033          0.033          0.033          0.033          0.033
